campaign_id,campaign_name,start_date,end_date,channel
CAM000001,New Year Sale 000001,2023-08-02,2023-08-08,Display Ads
CAM000002,Back to School 000002,2021-07-17,2021-07-27,Social Media
CAM000003,Weekend Sale 000003,2024-02-17,2024-02-23,Email
CAM000004,New Year Sale 000004,2023-04-24,2023-05-10,Email
CAM000005,Back to School 000005,2020-07-10,2020-07-19,Affiliate
CAM000006,Weekend Sale 000006,2023-05-17,2023-05-20,Social Media
CAM000007,Weekend Sale 000007,2024-01-06,2024-01-29,Push Notification
CAM000008,Member Exclusive 000008,2021-03-27,2021-04-13,SMS
CAM000009,New Year Sale 000009,2024-07-15,2024-08-14,Social Media
CAM000010,Black Friday 000010,2023-11-30,2023-12-16,SMS
CAM000011,Black Friday 000011,2020-11-14,2020-11-23,Email
CAM000012,Ramadan Sale 000012,2020-07-08,2020-07-23,SMS
CAM000013,Member Exclusive 000013,2024-10-01,2024-10-15,SMS
CAM000014,Flash Sale 000014,2024-07-10,2024-07-14,Affiliate
CAM000015,Ramadan Sale 000015,2020-09-12,2020-09-27,Affiliate
CAM000016,Member Exclusive 000016,2021-08-23,2021-09-21,SMS
CAM000017,Ramadan Sale 000017,2023-03-28,2023-04-06,Email
CAM000018,Independence Day 000018,2023-09-16,2023-09-26,Email
CAM000019,Ramadan Sale 000019,2024-10-17,2024-10-27,Push Notification
CAM000020,Black Friday 000020,2021-07-23,2021-08-09,Social Media
CAM000021,Back to School 000021,2022-01-28,2022-02-11,Display Ads
CAM000022,Ramadan Sale 000022,2021-06-30,2021-07-25,Affiliate
CAM000023,Weekend Sale 000023,2023-07-24,2023-08-01,Display Ads
CAM000024,Flash Sale 000024,2021-05-16,2021-05-24,Push Notification
CAM000025,Weekend Sale 000025,2021-07-06,2021-07-29,Social Media
CAM000026,New Year Sale 000026,2023-11-03,2023-11-16,Social Media
CAM000027,Black Friday 000027,2024-08-10,2024-08-14,Push Notification
CAM000028,Back to School 000028,2021-07-02,2021-07-07,Affiliate
CAM000029,Black Friday 000029,2024-11-29,2024-12-24,Social Media
CAM000030,Year End Sale 000030,2023-09-04,2023-09-22,Display Ads
CAM000031,Independence Day 000031,2022-07-28,2022-08-04,Social Media
CAM000032,Weekend Sale 000032,2021-05-20,2021-06-15,Affiliate
CAM000033,Member Exclusive 000033,2021-06-22,2021-07-18,Push Notification
CAM000034,Year End Sale 000034,2025-01-12,2025-02-02,SMS
CAM000035,Weekend Sale 000035,2021-03-25,2021-04-01,Push Notification
CAM000036,New Year Sale 000036,2020-07-05,2020-08-01,Email
CAM000037,Lebaran Sale 000037,2020-11-09,2020-12-02,Display Ads
CAM000038,Ramadan Sale 000038,2022-05-14,2022-06-05,Push Notification
CAM000039,Flash Sale 000039,2022-02-20,2022-03-14,Affiliate
CAM000040,New Year Sale 000040,2021-05-29,2021-06-18,Display Ads
CAM000041,Weekend Sale 000041,2024-01-16,2024-01-22,SMS
CAM000042,Black Friday 000042,2024-04-23,2024-05-16,Email
CAM000043,Lebaran Sale 000043,2021-08-24,2021-09-09,Push Notification
CAM000044,Independence Day 000044,2020-01-07,2020-02-02,Affiliate
CAM000045,Weekend Sale 000045,2024-04-09,2024-04-17,Email
CAM000046,Independence Day 000046,2024-11-17,2024-12-10,Display Ads
CAM000047,Back to School 000047,2022-11-05,2022-11-27,Social Media
CAM000048,Lebaran Sale 000048,2022-02-04,2022-03-03,Affiliate
CAM000049,Weekend Sale 000049,2025-05-06,2025-06-02,Email
CAM000050,Flash Sale 000050,2023-05-11,2023-05-24,Email
CAM000051,Independence Day 000051,2020-08-17,2020-08-31,Social Media
CAM000052,Member Exclusive 000052,2020-04-28,2020-05-08,Email
CAM000053,Flash Sale 000053,2020-06-24,2020-07-20,Email
CAM000054,Lebaran Sale 000054,2024-04-06,2024-04-26,Social Media
CAM000055,Weekend Sale 000055,2023-09-13,2023-10-01,Social Media
CAM000056,Member Exclusive 000056,2021-06-26,2021-07-15,Push Notification
CAM000057,Weekend Sale 000057,2025-05-29,2025-06-07,Display Ads
CAM000058,Independence Day 000058,2023-11-13,2023-11-22,Push Notification
CAM000059,Black Friday 000059,2023-10-07,2023-10-30,Push Notification
CAM000060,Flash Sale 000060,2025-01-16,2025-02-04,Email
CAM000061,Ramadan Sale 000061,2021-05-22,2021-06-01,SMS
CAM000062,Weekend Sale 000062,2020-02-13,2020-03-05,Social Media
CAM000063,New Year Sale 000063,2023-04-20,2023-04-30,Email
CAM000064,New Year Sale 000064,2023-12-20,2024-01-12,Social Media
CAM000065,Black Friday 000065,2020-05-18,2020-05-22,Email
CAM000066,Independence Day 000066,2022-11-18,2022-11-28,Display Ads
CAM000067,Weekend Sale 000067,2022-09-21,2022-09-30,Social Media
CAM000068,Member Exclusive 000068,2024-01-21,2024-02-11,Push Notification
CAM000069,Flash Sale 000069,2021-05-12,2021-06-09,Push Notification
